START	~	0.123439
~	@	0.325490
@	~	0.191489
~	O	0.049673
O	V	0.491966
V	O	0.115091
O	^	0.015302
^	,	0.212490
,	$	0.020903
$	R	0.031185
R	A	0.132580
A	STOP	0.035339
START	@	0.252755
@	O	0.077369
V	A	0.050305
A	,	0.124164
,	STOP	0.199050
@	!	0.106383
!	,	0.215134
,	O	0.070784
V	V	0.144055
V	P	0.150915
P	O	0.113791
P	V	0.134818
V	T	0.034680
T	N	0.049046
N	&	0.035176
&	V	0.121807
V	D	0.144436
D	N	0.473808
N	,	0.269682
,	!	0.057482
!	R	0.028190
R	O	0.066804
P	N	0.110080
START	V	0.071271
V	N	0.060213
N	V	0.103015
N	N	0.127722
A	P	0.099331
V	R	0.066692
R	P	0.093525
P	$	0.035250
$	N	0.155925
,	&	0.028979
$	,	0.124740
,	R	0.043230
D	P	0.017983
P	,	0.028448
START	^	0.060985
^	^	0.201135
^	V	0.108678
P	^	0.123067
^	P	0.057583
P	D	0.210884
D	$	0.018765
,	^	0.058432
N	STOP	0.037270
START	#	0.022043
#	#	0.140187
#	$	0.028037
,	V	0.095487
R	,	0.121274
,	A	0.031829
A	N	0.361987
,	N	0.061283
,	G	0.019952
G	N	0.050000
N	~	0.008794
~	U	0.062745
U	STOP	0.372093
START	L	0.036738
L	N	0.038536
START	!	0.055107
,	P	0.031829
D	D	0.014855
D	V	0.030493
,	D	0.035629
N	P	0.180067
R	V	0.196300
O	P	0.044376
R	&	0.016444
&	R	0.051081
R	R	0.073998
V	!	0.007622
!	STOP	0.121662
O	,	0.085692
,	L	0.042280
L	R	0.117534
R	D	0.041110
D	^	0.078186
^	N	0.098946
!	E	0.032641
E	STOP	0.241135
@	E	0.016441
E	!	0.042553
@	A	0.026112
N	A	0.016750
!	P	0.034125
O	D	0.025249
L	V	0.196532
V	STOP	0.016387
!	O	0.071217
V	,	0.074314
~	~	0.035294
~	#	0.027451
#	~	0.035047
~	X	0.016993
X	V	0.068345
P	R	0.021027
D	~	0.010164
~	STOP	0.045752
V	^	0.033537
O	~	0.012242
START	N	0.053637
,	U	0.050831
START	,	0.019104
$	P	0.095634
P	U	0.007421
U	$	0.023256
P	Z	0.012987
Z	N	0.084459
~	A	0.024837
V	Z	0.006479
P	G	0.011750
G	V	0.050000
~	P	0.023529
N	O	0.026382
N	U	0.019263
U	~	0.040698
~	,	0.033987
G	,	0.064286
N	@	0.012563
START	D	0.031594
D	A	0.154027
G	STOP	0.066667
!	!	0.066766
!	A	0.026706
A	A	0.033429
A	!	0.018147
!	V	0.040059
START	O	0.066128
O	R	0.074216
P	@	0.028448
@	,	0.048356
~	V	0.040523
N	D	0.014238
N	G	0.015494
G	@	0.035714
@	P	0.029014
T	R	0.046322
N	E	0.016332
G	^	0.052381
^	U	0.024331
^	!	0.015410
@	@	0.084139
N	!	0.014657
V	$	0.013720
,	~	0.025178
N	R	0.034757
R	U	0.013361
U	,	0.038760
V	@	0.011433
Z	A	0.060811
!	N	0.037092
T	,	0.089918
,	,	0.027553
L	D	0.071291
D	R	0.020328
&	$	0.035363
N	$	0.009631
@	V	0.067698
V	L	0.011814
L	T	0.025048
&	L	0.047151
T	V	0.043597
O	N	0.023718
&	N	0.102161
,	#	0.024228
#	STOP	0.182243
~	$	0.018301
$	&	0.024948
P	STOP	0.009276
L	A	0.096339
@	L	0.032882
^	Z	0.016221
Z	,	0.043919
^	R	0.022709
Z	^	0.054054
@	D	0.022244
R	E	0.018499
,	Z	0.006176
^	~	0.011354
,	E	0.027078
G	!	0.030952
$	A	0.049896
@	N	0.041586
START	A	0.036003
G	U	0.054762
&	!	0.025540
^	E	0.012165
~	D	0.026144
D	S	0.012510
S	N	0.079710
P	P	0.022882
~	L	0.022222
A	O	0.020057
START	G	0.013226
G	A	0.040476
A	V	0.022923
P	A	0.033395
~	^	0.043137
~	&	0.014379
&	O	0.098232
E	,	0.040189
START	S	0.009552
S	A	0.043478
,	@	0.016152
$	M	0.022869
M	A	0.041985
O	A	0.026014
O	&	0.021423
&	P	0.029470
$	G	0.024948
^	A	0.018654
G	$	0.035714
